TQC ID,Total Valiation Qty,Total Pass Qty,Total Reject Qty,Pass %,validataion result is over 95%,Total Valiation Qty is over 100,Final result
620030032,20.0,19.0,1,95.0,Pass,Fail,Fail
620060084,10.0,9.0,1,90.0,Fail,Fail,Fail
620080271,60.0,54.0,6,90.0,Fail,Fail,Fail
620090285,20.0,18.0,2,90.0,Fail,Fail,Fail
620110399,20.0,18.0,2,90.0,Fail,Fail,Fail
621030280,80.0,76.0,4,95.0,Pass,Fail,Fail
621030996,140.0,132.0,8,94.29,Fail,Pass,Fail
621040446,20.0,17.0,3,85.0,Fail,Fail,Fail
621060243,100.0,95.0,5,95.0,Pass,Pass,Pass
621110412,20.0,18.0,2,90.0,Fail,Fail,Fail
621120120,80.0,75.0,5,93.75,Fail,Fail,Fail
621120400,10.0,9.0,1,90.0,Fail,Fail,Fail
622020056,80.0,76.0,4,95.0,Pass,Fail,Fail
622020174,20.0,19.0,1,95.0,Pass,Fail,Fail
622020703,20.0,19.0,1,95.0,Pass,Fail,Fail
622020913,80.0,75.0,5,93.75,Fail,Fail,Fail
622021407,20.0,18.0,2,90.0,Fail,Fail,Fail
622030023,20.0,18.0,2,90.0,Fail,Fail,Fail
622030777,20.0,18.0,2,90.0,Fail,Fail,Fail
622080060,10.0,9.0,1,90.0,Fail,Fail,Fail
622080106,20.0,18.0,2,90.0,Fail,Fail,Fail
623030007,40.0,35.0,5,87.5,Fail,Fail,Fail
623060090,30.0,27.0,3,90.0,Fail,Fail,Fail
623080380,10.0,8.0,2,80.0,Fail,Fail,Fail
623090032,60.0,54.0,6,90.0,Fail,Fail,Fail
623090063,60.0,54.0,6,90.0,Fail,Fail,Fail
623090139,10.0,9.0,1,90.0,Fail,Fail,Fail
623090194,70.0,63.0,7,90.0,Fail,Fail,Fail
623090198,20.0,18.0,2,90.0,Fail,Fail,Fail
623090218,50.0,44.0,6,88.0,Fail,Fail,Fail
623100210,30.0,27.0,3,90.0,Fail,Fail,Fail
623100234,50.0,45.0,5,90.0,Fail,Fail,Fail
623110220,10.0,9.0,1,90.0,Fail,Fail,Fail
623120136,20.0,19.0,1,95.0,Pass,Fail,Fail
624020086,30.0,27.0,3,90.0,Fail,Fail,Fail
624020152,10.0,9.0,1,90.0,Fail,Fail,Fail
624020153,10.0,9.0,1,90.0,Fail,Fail,Fail
624020170,40.0,35.0,5,87.5,Fail,Fail,Fail
624030105,20.0,18.0,2,90.0,Fail,Fail,Fail
624030271,20.0,18.0,2,90.0,Fail,Fail,Fail
624030295,20.0,18.0,2,90.0,Fail,Fail,Fail
624030533,60.0,54.0,6,90.0,Fail,Fail,Fail
624030607,90.0,81.0,9,90.0,Fail,Fail,Fail
624040282,60.0,53.0,7,88.33,Fail,Fail,Fail
624040283,70.0,63.0,7,90.0,Fail,Fail,Fail
624040410,50.0,45.0,5,90.0,Fail,Fail,Fail
624050151,40.0,36.0,4,90.0,Fail,Fail,Fail
624050200,280.0,279.0,1,99.64,Pass,Pass,Pass
624050450,280.0,278.0,2,99.29,Pass,Pass,Pass
624060040,80.0,76.0,4,95.0,Pass,Fail,Fail
624060131,400.0,400.0,0,100.0,Pass,Pass,Pass
624060316,50.0,45.0,5,90.0,Fail,Fail,Fail
624060318,50.0,47.0,3,94.0,Fail,Fail,Fail
624060331,60.0,54.0,6,90.0,Fail,Fail,Fail
624060384,180.0,177.0,3,98.33,Pass,Pass,Pass
624070020,100.0,92.0,8,92.0,Fail,Pass,Fail
624070060,330.0,328.0,2,99.39,Pass,Pass,Pass
624070252,350.0,348.0,2,99.43,Pass,Pass,Pass
624070310,180.0,178.0,3,98.89,Pass,Pass,Pass
624070354,20.0,20.0,0,100.0,Pass,Fail,Fail
624070393,440.0,440.0,0,100.0,Pass,Pass,Pass
624080015,180.0,178.0,2,98.89,Pass,Pass,Pass
624080082,490.0,490.0,0,100.0,Pass,Pass,Pass
624080083,90.0,84.0,6,93.33,Fail,Fail,Fail
624080127,50.0,45.0,5,90.0,Fail,Fail,Fail
624080166,330.0,329.0,1,99.7,Pass,Pass,Pass
624080236,40.0,39.0,1,97.5,Pass,Fail,Fail
624080311,10.0,8.0,2,80.0,Fail,Fail,Fail
624080430,90.0,83.0,7,92.22,Fail,Fail,Fail
624090322,380.0,380.0,0,100.0,Pass,Pass,Pass
624090346,360.0,357.0,3,99.17,Pass,Pass,Pass
624100065,460.0,460.0,0,100.0,Pass,Pass,Pass
624100172,440.0,440.0,0,100.0,Pass,Pass,Pass
624100308,140.0,135.0,5,96.43,Pass,Pass,Pass
624100316,200.0,196.0,4,98.0,Pass,Pass,Pass
624100346,450.0,450.0,0,100.0,Pass,Pass,Pass
624100460,100.0,94.0,6,94.0,Fail,Pass,Fail
624110158,60.0,56.0,4,93.33,Fail,Fail,Fail
624110228,220.0,215.0,5,97.73,Pass,Pass,Pass
624110274,300.0,295.0,5,98.33,Pass,Pass,Pass
624110346,290.0,289.0,1,99.66,Pass,Pass,Pass
624120070,410.0,409.0,1,99.76,Pass,Pass,Pass
625010030,80.0,78.0,2,97.5,Pass,Fail,Fail
